ltable_id,rtable_id,label
journals/sigmod/Hoffner03,gKaRZaqoHm0J,0
conf/sigmod/SeshadriHPLRSSS96,sVCekk7gaMkJ,0
conf/vldb/ChakrabartiDAR97,DzbsN_MJM5gJ,0
conf/vldb/PedersenJD00,gpGxGr8QZukJ,0
journals/sigmod/TanK03,qIzj09N-Qr8J,1
conf/sigmod/SagonasSW94a,b7DQ6iIEV-gJ,0
conf/sigmod/LiVCAHMWBCHIKSS99,Mrx0auCcmUUJ,0
journals/sigmod/VenkatraoP95,qk3LVAuS2SUJ,1
conf/vldb/WaasCB01,o1iRlfhQe-oJ,0
conf/sigmod/DogacAEOADAOS94,GNXCZ0fu8vsJ,0
conf/sigmod/IpeirotisGS01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1083602%26type%3Dpdf,0
journals/sigmod/FlorescuLM98,GfRmtB2qhgYJ,0
conf/vldb/Klots96,5bsmOwr6zjIJ,0
conf/sigmod/ImielinskiVB94,7qv9IC8F_WQJ,1
journals/vldb/AtzeniM00,url:http://doi.wiley.com/10.1002/tl.7906,0
conf/sigmod/YangYW00,htSfT55tL3QJ,0
conf/sigmod/BorkarDS01,2yYwCQl-GBUJ,0
conf/vldb/BohlenSS96,nLtVSbuB7HYJ,0
conf/sigmod/BohannonMR01,KBtcQ9Wh3G4J,0
conf/vldb/LahiriSCMC01,Ec_jvWFIhggJ,0
conf/sigmod/Mohan96,C-yzbvoAg00J,1
journals/sigmod/Roussopoulos98,Uai7mRS_HQwJ,0
journals/sigmod/LaenderRST02,Od2CsU0ZqkgJ,0
journals/sigmod/ConradEHRSSSV97,zJCsqgMH5bUJ,1
conf/vldb/SrinivasanDFCJYKTDB00,-y6ntUlGouEJ,0
journals/sigmod/Franklin00b,LKpXHB78DY4J,0
conf/sigmod/HanFWCZK96,g9tnQvRyVX4J,0
conf/sigmod/LakhamrajuRSS00,1U2sCmJFBjUJ,0
