ltable_id,rtable_id,label,score
393,831,0,0.0
559,324,0,0.0
558,3023,0,0.07
762,1618,0,0.12
1262,2860,0,0.0
971,2804,0,0.065
654,1183,0,0.0
423,2847,0,0.03
858,1805,0,0.1
722,2331,0,0.02661904761904762
1198,3033,0,0.005
522,1512,0,0.0
561,1136,0,0.005
606,2867,0,0.0
1170,861,0,0.0
614,945,0,0.005
1241,3145,0,0.275
1111,2755,0,0.0
270,2177,0,0.0
225,2837,0,0.0
597,242,0,0.0
661,946,0,0.51
705,2054,0,0.0
1191,567,1,0.86
606,1485,0,0.0
1030,2320,1,0.7844543650793651
1105,783,0,0.135
1225,2383,0,0.0
536,750,1,0.635
375,532,0,0.415
1022,2865,0,0.13
781,3199,0,0.0
93,3160,0,0.005
578,2195,0,0.01
276,3022,1,0.95
646,836,0,0.065
511,2821,0,0.0
490,1514,0,0.0
587,1001,0,0.01
1109,2852,0,0.005
799,1592,0,0.0
1269,1433,1,0.53775
1258,2490,0,0.0
553,897,0,0.0
539,1311,0,0.0
897,3017,0,0.005
22,1435,1,0.69
997,1599,0,0.055
348,239,0,0.0
112,3119,0,0.25
604,2850,0,0.0
1124,234,0,0.0
1148,1183,0,0.0
267,263,0,0.0
310,562,0,0.23
779,792,0,0.0
1186,1017,0,0.245
232,1437,0,0.005
1185,2510,0,0.0
632,3126,0,0.02
497,945,0,0.135
856,5,0,0.81
250,367,0,0.0
131,330,0,0.395
427,2326,0,0.4670454545454546
546,750,0,0.215
1262,192,1,0.16
1308,713,1,0.81
270,1447,0,0.0
510,2056,1,0.27
251,36,0,0.0
26,897,0,0.0
508,3060,0,0.005
197,1892,0,0.105
615,369,0,0.0
105,2626,0,0.015
233,1917,0,0.45
571,1075,0,0.195
508,533,0,0.02
1078,2081,0,0.005
751,2189,0,0.005
515,2313,0,0.0
874,1319,0,0.0
648,1773,0,0.19
1029,2081,0,0.7431944444444444
831,2970,0,0.61
606,2411,0,0.025
578,2332,0,0.0
546,986,0,0.0
736,3032,0,0.0
890,2143,0,0.33
776,907,0,0.0
1322,911,0,0.0
558,2143,0,0.14
620,2807,0,0.01
