shift,variant,features,calibration_threshold,total_detections,false_alarms,post_drift_detections,stable_windows,false_alarm_rate,first_post_drift_detection,detection_delay,detected
title,Full,mean+std+boundary_mass+entropy,1.9370300260546003,26,4,22,52,0.07692307692307693,1375,0,True
title,No_Mean,std+boundary_mass+entropy,1.8333277508291939,26,4,22,52,0.07692307692307693,1375,0,True
title,No_Std,mean+boundary_mass+entropy,2.1794288236176427,25,4,21,52,0.07692307692307693,1375,0,True
title,No_Boundary,mean+std+entropy,2.014775678694997,26,4,22,52,0.07692307692307693,1375,0,True
title,No_Entropy,mean+std+boundary_mass,2.0384373780280565,19,3,16,52,0.057692307692307696,1375,0,True
title,Mean_Only,mean,2.2888693417135313,27,5,22,52,0.09615384615384616,1375,0,True
title,Std_Only,std,1.8668179173172972,4,2,2,52,0.038461538461538464,1425,50,True
title,Boundary_Only,boundary_mass,2.6212795527197197,11,2,9,52,0.038461538461538464,1375,0,True
title,Entropy_Only,entropy,2.6089906960379476,28,6,22,52,0.11538461538461539,1375,0,True
naming,Full,mean+std+boundary_mass+entropy,1.9370300260546005,6,1,5,52,0.019230769230769232,1375,0,True
naming,No_Mean,std+boundary_mass+entropy,1.8333277508291939,10,2,8,52,0.038461538461538464,1375,0,True
naming,No_Std,mean+boundary_mass+entropy,2.1794288236176427,6,1,5,52,0.019230769230769232,1375,0,True
naming,No_Boundary,mean+std+entropy,2.014775678694997,7,2,5,52,0.038461538461538464,1375,0,True
naming,No_Entropy,mean+std+boundary_mass,2.0384373780280565,6,1,5,52,0.019230769230769232,1475,100,True
naming,Mean_Only,mean,2.2888693417135313,8,4,4,52,0.07692307692307693,1375,0,True
naming,Std_Only,std,1.8668179173172972,4,2,2,52,0.038461538461538464,2000,625,True
naming,Boundary_Only,boundary_mass,2.6212795527197197,5,1,4,52,0.019230769230769232,1500,125,True
naming,Entropy_Only,entropy,2.6089906960379476,8,4,4,52,0.07692307692307693,1375,0,True
missingness,Full,mean+std+boundary_mass+entropy,1.9370300260546005,5,1,4,52,0.019230769230769232,1700,325,True
missingness,No_Mean,std+boundary_mass+entropy,1.8333277508291939,6,2,4,52,0.038461538461538464,1700,325,True
missingness,No_Std,mean+boundary_mass+entropy,2.1794288236176427,4,1,3,52,0.019230769230769232,1700,325,True
missingness,No_Boundary,mean+std+entropy,2.014775678694997,5,1,4,52,0.019230769230769232,1700,325,True
missingness,No_Entropy,mean+std+boundary_mass,2.0384373780280565,2,1,1,52,0.019230769230769232,2025,650,True
missingness,Mean_Only,mean,2.2888693417135313,4,2,2,52,0.038461538461538464,1475,100,True
missingness,Std_Only,std,1.8668179173172972,4,2,2,52,0.038461538461538464,1700,325,True
missingness,Boundary_Only,boundary_mass,2.6212795527197197,2,1,1,52,0.019230769230769232,1500,125,True
missingness,Entropy_Only,entropy,2.6089906960379476,9,4,5,52,0.07692307692307693,1700,325,True
