ltable_id,rtable_id,label,base_score,shift_score
393,831,0,0.0,0.0
559,324,0,0.0,0.005
558,3023,0,0.07,0.105
762,1618,0,0.12,0.085
1262,2860,0,0.0,0.005
971,2804,0,0.065,0.135
654,1183,0,0.0,0.0
423,2847,0,0.03,0.07
858,1805,0,0.1,0.125
722,2331,0,0.02661904761904762,0.02661904761904762
1198,3033,0,0.005,0.005
522,1512,0,0.0,0.025
561,1136,0,0.005,0.005
606,2867,0,0.0,0.0
1170,861,0,0.0,0.0
614,945,0,0.005,0.01
1241,3145,0,0.275,0.27
1111,2755,0,0.0,0.0
270,2177,0,0.0,0.01
225,2837,0,0.0,0.0
597,242,0,0.0,0.0
661,946,0,0.51,0.405
705,2054,0,0.0,0.0
1191,567,1,0.86,0.805
606,1485,0,0.0,0.0
1030,2320,1,0.7844543650793651,0.6465972222222223
1105,783,0,0.135,0.135
1225,2383,0,0.0,0.0
536,750,1,0.635,0.545
375,532,0,0.415,0.345
1022,2865,0,0.13,0.175
781,3199,0,0.0,0.005
93,3160,0,0.005,0.025
578,2195,0,0.01,0.02
276,3022,1,0.95,0.835
646,836,0,0.065,0.075
511,2821,0,0.0,0.0
490,1514,0,0.0,0.0
587,1001,0,0.01,0.02
1109,2852,0,0.005,0.005
799,1592,0,0.0,0.0
1269,1433,1,0.53775,0.53775
1258,2490,0,0.0,0.0
553,897,0,0.0,0.0
539,1311,0,0.0,0.0
897,3017,0,0.005,0.04
22,1435,1,0.69,0.69
997,1599,0,0.055,0.06
348,239,0,0.0,0.005
112,3119,0,0.25,0.26
604,2850,0,0.0,0.0
1124,234,0,0.0,0.0
1148,1183,0,0.0,0.0
267,263,0,0.0,0.01
310,562,0,0.23,0.22
779,792,0,0.0,0.015
1186,1017,0,0.245,0.275
232,1437,0,0.005,0.005
1185,2510,0,0.0,0.0
632,3126,0,0.02,0.05
497,945,0,0.135,0.15
856,5,0,0.81,0.81
250,367,0,0.0,0.0
131,330,0,0.395,0.4
427,2326,0,0.4670454545454546,0.4720454545454546
546,750,0,0.215,0.215
1262,192,1,0.16,0.215
1308,713,1,0.81,0.7
270,1447,0,0.0,0.0
510,2056,1,0.27,0.29
251,36,0,0.0,0.0
26,897,0,0.0,0.02
508,3060,0,0.005,0.0
197,1892,0,0.105,0.14
615,369,0,0.0,0.01
105,2626,0,0.015,0.065
233,1917,0,0.45,0.445
571,1075,0,0.195,0.22
508,533,0,0.02,0.05
1078,2081,0,0.005,0.005
751,2189,0,0.005,0.015
515,2313,0,0.0,0.0
874,1319,0,0.0,0.0
648,1773,0,0.19,0.04
1029,2081,0,0.7431944444444444,0.7394444444444445
831,2970,0,0.61,0.615
606,2411,0,0.025,0.06
578,2332,0,0.0,0.0
546,986,0,0.0,0.01
736,3032,0,0.0,0.0
890,2143,0,0.33,0.37
776,907,0,0.0,0.0
1322,911,0,0.0,0.0
558,2143,0,0.14,0.13
620,2807,0,0.01,0.01
1322,1146,0,0.0,0.0
773,1014,0,0.0,0.0
930,254,0,0.0,0.005
604,3199,0,0.005,0.045
1362,744,0,0.03,0.025
157,25,0,0.04,0.035
845,180,1,0.76,0.68
333,2915,0,0.0,0.01
829,3151,0,0.0,0.0
641,1177,0,0.15,0.155
477,2466,1,0.425,0.385
517,1667,0,0.61,0.61
443,1643,0,0.0,0.0
146,2853,0,0.005,0.04
276,3048,0,0.11,0.11
808,2125,0,0.0,0.0
1119,1351,0,0.615,0.615
511,998,0,0.0,0.0
605,2837,0,0.0,0.0
896,159,1,0.92,0.815
591,515,0,0.0,0.01
559,2860,0,0.05,0.075
602,897,0,0.0,0.0
753,2847,0,0.0,0.005
517,361,0,0.0,0.01
753,915,0,0.0,0.005
1141,2811,1,0.795,0.705
404,2890,1,0.08,0.21
1018,3156,0,0.63,0.505
587,3190,0,0.0,0.005
231,1925,0,0.0,0.0
594,1037,0,0.005,0.03
586,1485,0,0.0,0.0
557,338,0,0.215,0.245
556,1475,0,0.0,0.0
1024,2468,0,0.025,0.025
25,2099,0,0.32,0.295
897,452,1,0.843279761904762,0.743279761904762
971,647,0,0.0,0.005
32,2008,1,0.555,0.505
139,426,0,0.005,0.01
1099,767,1,0.995,0.995
823,2474,0,0.125,0.195
1004,2232,0,0.21,0.21
209,1937,0,0.005,0.15
1038,2638,0,0.04,0.03
848,843,0,0.55,0.46
235,1970,0,0.02,0.055
547,2863,0,0.09,0.1
320,3087,0,0.0,0.0
369,3062,0,0.565,0.515
1246,857,0,0.015,0.07
971,196,0,0.135,0.09
265,939,0,0.09,0.165
271,2877,0,0.0,0.0
571,111,0,0.0,0.005
157,1735,0,0.26,0.205
523,3085,0,0.07,0.09
557,190,0,0.005,0.005
897,921,0,0.07,0.085
465,151,0,0.005,0.015
208,1781,0,0.005,0.005
510,3062,0,0.09,0.1
1001,2544,0,0.145,0.135
132,2272,0,0.305,0.255
233,1153,0,0.855,0.735
944,2561,0,0.14,0.135
167,2850,0,0.0,0.02
559,326,1,0.805,0.69
731,3021,0,0.0,0.0
318,3039,0,0.01,0.005
606,2847,0,0.14,0.135
591,2158,0,0.01,0.015
1090,973,1,0.445,0.38
599,2996,0,0.49,0.49
1174,1213,0,0.0,0.005
1013,1566,0,0.0,0.0
1078,2669,0,0.055,0.045
559,2839,0,0.01,0.07
615,977,0,0.125,0.12
1068,2544,0,0.02,0.05
431,1773,0,0.0,0.005
588,1842,0,0.005,0.005
520,3092,0,0.015,0.015
993,3063,0,0.025,0.025
501,808,1,0.1,0.1
810,709,0,0.035,0.035
270,3060,0,0.0,0.0
198,64,0,0.28,0.32
580,2530,0,0.0,0.0
145,1137,0,0.03,0.05
1002,2478,0,0.0,0.0
1287,792,0,0.005,0.02
892,2839,0,0.04,0.11
420,2845,0,0.0,0.0
625,294,1,0.925,0.74
1052,2946,0,0.51,0.485
554,2062,0,0.03,0.055
548,523,0,0.0,0.0
86,1584,0,0.0,0.0
1266,1060,1,0.7,0.7
547,2816,0,0.05,0.045
1078,2723,0,0.0,0.01
511,915,0,0.005,0.005
653,2030,0,0.219375,0.204375
799,1735,0,0.0,0.0
1284,3056,0,0.015,0.015
1036,1106,0,0.065,0.065
1148,1188,0,0.0,0.0
991,2900,0,0.005,0.005
287,1485,0,0.0,0.0
1340,648,1,0.045,0.075
608,939,0,0.005,0.105
512,111,0,0.41,0.405
588,151,0,0.0,0.0
1127,2238,0,0.0,0.005
146,2518,0,0.0,0.0
518,1805,0,0.0,0.0
362,2078,0,0.01,0.01
650,1776,0,0.01,0.14
1093,948,0,0.36,0.415
19,1237,1,0.29,0.325
518,3187,0,0.0,0.0
662,3109,0,0.005,0.005
554,3016,0,0.35,0.31
614,1170,0,0.78,0.73
484,750,0,0.115,0.12
618,1485,0,0.02,0.03
498,2153,0,0.23,0.26
1083,1949,0,0.515,0.515
490,2441,0,0.0,0.0
1078,2102,0,0.01,0.015
998,1449,0,0.425,0.51
538,2200,1,0.03,0.035
866,312,0,0.0,0.005
1275,2273,0,0.01,0.01
624,2224,0,0.19,0.185
802,2327,0,0.035,0.135
441,1086,0,0.115,0.115
1078,313,0,0.03,0.03
585,2517,1,0.7375,0.71
1341,647,1,0.845,0.855
574,1132,0,0.09,0.155
360,3030,0,0.02,0.02
181,1602,0,0.11,0.11
517,986,1,0.9,0.75
517,355,0,0.005,0.04
139,939,0,0.0,0.0
736,902,0,0.0,0.0
839,3094,0,0.16,0.205
827,1060,0,0.0,0.0
553,242,0,0.005,0.025
109,2501,0,0.47,0.41
1176,2329,0,0.0,0.0
589,3055,0,0.085,0.085
1038,2102,0,0.14,0.145
477,195,0,0.245,0.235
453,2076,0,0.0,0.005
570,2266,0,0.02,0.04
753,1132,0,0.0,0.01
244,137,0,0.0,0.0
520,3134,0,0.0,0.0
851,1080,0,0.02,0.02
546,190,0,0.005,0.015
168,2164,1,0.115,0.08
1118,1678,0,0.035,0.145
1051,1442,0,0.23,0.2
431,111,0,0.415,0.415
830,237,0,0.005,0.04
653,741,0,0.04,0.045
1273,326,0,0.0,0.005
1166,2205,0,0.275,0.265
892,324,0,0.0,0.005
1206,537,1,0.1,0.06
52,2008,0,0.105,0.115
497,1095,0,0.265,0.295
616,239,0,0.0,0.005
413,2873,1,0.98,0.92
587,2848,0,0.045,0.05
1004,852,0,0.235,0.19
333,257,0,0.0,0.0
606,2165,1,0.31,0.305
44,966,0,0.0,0.0
40,456,0,0.02,0.035
750,330,0,0.225,0.22
1258,1032,0,0.0,0.0
338,3059,0,0.0,0.16
539,1124,0,0.0,0.0
223,1583,0,0.0,0.005
371,2847,0,0.0,0.005
511,1902,0,0.135,0.15
1290,3056,0,0.05,0.05
396,3133,0,0.0,0.0
616,2252,0,0.0,0.005
897,521,0,0.0,0.025
1020,3132,0,0.6481944444444444,0.5881944444444445
1089,1372,1,0.28375,0.305
935,3186,0,0.015,0.015
428,2956,0,0.0,0.0
1275,2937,1,1.0,1.0
81,1592,1,0.7325,0.6685
527,190,0,0.0,0.01
333,2154,0,0.455,0.385
514,2600,0,0.005,0.01
