shift,feature,stable_value,drift_value,absolute_change
title,mean,0.1454596867464671,0.18852573047684953,0.04306604373038245
title,std,0.23927306198819326,0.2496617064022963,0.010388644414103032
title,entropy,2.4118919694864958,2.981929700372069,0.5700377308855731
title,boundary_mass,0.027636363636363636,0.058823529411764705,0.03118716577540107
naming,mean,0.14545968674646706,0.1518397141140538,0.006380027367586749
naming,std,0.2392730619881933,0.22541484441669932,0.01385821757149397
naming,entropy,2.4118919694864958,2.648118560864263,0.23622659137776703
naming,boundary_mass,0.027636363636363636,0.05119825708061002,0.023561893444246387
missingness,mean,0.14545968674646706,0.14509546278007626,0.00036422396639079757
missingness,std,0.2392730619881933,0.23646846292879845,0.002804599059394841
missingness,entropy,2.4118919694864958,2.4533306551389313,0.04143868565243558
missingness,boundary_mass,0.027636363636363636,0.034858387799564274,0.0072220241632006375
