shift,rep,detector,total_detections,false_alarms,post_drift_detections,false_alarm_rate,first_post_drift_detection,detection_delay,detected,calibration_threshold
title,0,ADWIN,0,0,0,0.0,,,False,
title,0,Page-Hinkley,0,0,0,0.0,,,False,
title,0,Boundary-Aware,30,7,23,0.1346153846153846,1375.0,0.0,True,1.6618674924480936
title,1,ADWIN,0,0,0,0.0,,,False,
title,1,Page-Hinkley,0,0,0,0.0,,,False,
title,1,Boundary-Aware,9,3,6,0.057692307692307696,1900.0,525.0,True,2.736499742889909
title,2,ADWIN,0,0,0,0.0,,,False,
title,2,Page-Hinkley,0,0,0,0.0,,,False,
title,2,Boundary-Aware,23,2,21,0.038461538461538464,1450.0,75.0,True,2.051639182117852
title,3,ADWIN,0,0,0,0.0,,,False,
title,3,Page-Hinkley,0,0,0,0.0,,,False,
title,3,Boundary-Aware,29,4,25,0.07692307692307693,1475.0,100.0,True,1.7181088261113675
title,4,ADWIN,0,0,0,0.0,,,False,
title,4,Page-Hinkley,0,0,0,0.0,,,False,
title,4,Boundary-Aware,22,3,19,0.057692307692307696,1550.0,175.0,True,2.3124561515155433
title,5,ADWIN,0,0,0,0.0,,,False,
title,5,Page-Hinkley,0,0,0,0.0,,,False,
title,5,Boundary-Aware,31,3,28,0.057692307692307696,1450.0,75.0,True,1.819538132749086
title,6,ADWIN,0,0,0,0.0,,,False,
title,6,Page-Hinkley,0,0,0,0.0,,,False,
title,6,Boundary-Aware,14,1,13,0.019230769230769232,1475.0,100.0,True,2.415712271047634
title,7,ADWIN,0,0,0,0.0,,,False,
title,7,Page-Hinkley,0,0,0,0.0,,,False,
title,7,Boundary-Aware,22,8,14,0.15384615384615385,1375.0,0.0,True,2.4867069074261035
title,8,ADWIN,0,0,0,0.0,,,False,
title,8,Page-Hinkley,0,0,0,0.0,,,False,
title,8,Boundary-Aware,16,2,14,0.038461538461538464,1375.0,0.0,True,2.7551053135759465
title,9,ADWIN,0,0,0,0.0,,,False,
title,9,Page-Hinkley,0,0,0,0.0,,,False,
title,9,Boundary-Aware,10,3,7,0.057692307692307696,1425.0,50.0,True,2.485990371321932
title,10,ADWIN,0,0,0,0.0,,,False,
title,10,Page-Hinkley,0,0,0,0.0,,,False,
title,10,Boundary-Aware,23,2,21,0.038461538461538464,1400.0,25.0,True,2.7888865164230188
title,11,ADWIN,0,0,0,0.0,,,False,
title,11,Page-Hinkley,0,0,0,0.0,,,False,
title,11,Boundary-Aware,23,5,18,0.09615384615384616,1375.0,0.0,True,1.945520685520325
title,12,ADWIN,0,0,0,0.0,,,False,
title,12,Page-Hinkley,0,0,0,0.0,,,False,
title,12,Boundary-Aware,30,5,25,0.09615384615384616,1475.0,100.0,True,1.6464499071715377
title,13,ADWIN,0,0,0,0.0,,,False,
title,13,Page-Hinkley,0,0,0,0.0,,,False,
title,13,Boundary-Aware,40,12,28,0.23076923076923078,1375.0,0.0,True,2.0366768908632067
title,14,ADWIN,0,0,0,0.0,,,False,
title,14,Page-Hinkley,0,0,0,0.0,,,False,
title,14,Boundary-Aware,19,2,17,0.038461538461538464,1375.0,0.0,True,2.3231740131237597
title,15,ADWIN,0,0,0,0.0,,,False,
title,15,Page-Hinkley,0,0,0,0.0,,,False,
title,15,Boundary-Aware,22,2,20,0.038461538461538464,1425.0,50.0,True,2.1545841370230554
title,16,ADWIN,0,0,0,0.0,,,False,
title,16,Page-Hinkley,0,0,0,0.0,,,False,
title,16,Boundary-Aware,8,4,4,0.07692307692307693,1775.0,400.0,True,2.2603887594849223
title,17,ADWIN,0,0,0,0.0,,,False,
title,17,Page-Hinkley,0,0,0,0.0,,,False,
title,17,Boundary-Aware,17,1,16,0.019230769230769232,1375.0,0.0,True,1.9487864381444975
title,18,ADWIN,0,0,0,0.0,,,False,
title,18,Page-Hinkley,0,0,0,0.0,,,False,
title,18,Boundary-Aware,22,5,17,0.09615384615384616,1375.0,0.0,True,2.0844742764392743
title,19,ADWIN,1,0,1,0.0,2271.0,896.0,True,
title,19,Page-Hinkley,0,0,0,0.0,,,False,
title,19,Boundary-Aware,37,6,31,0.11538461538461539,1375.0,0.0,True,1.9367897178372104
title,20,ADWIN,0,0,0,0.0,,,False,
title,20,Page-Hinkley,0,0,0,0.0,,,False,
title,20,Boundary-Aware,32,5,27,0.09615384615384616,1375.0,0.0,True,1.9505414103700691
title,21,ADWIN,0,0,0,0.0,,,False,
title,21,Page-Hinkley,0,0,0,0.0,,,False,
title,21,Boundary-Aware,12,3,9,0.057692307692307696,1400.0,25.0,True,2.339940604086559
title,22,ADWIN,0,0,0,0.0,,,False,
title,22,Page-Hinkley,0,0,0,0.0,,,False,
title,22,Boundary-Aware,24,3,21,0.057692307692307696,1375.0,0.0,True,2.0802207262579335
title,23,ADWIN,0,0,0,0.0,,,False,
title,23,Page-Hinkley,0,0,0,0.0,,,False,
title,23,Boundary-Aware,20,7,13,0.1346153846153846,1375.0,0.0,True,3.2122440380934236
title,24,ADWIN,0,0,0,0.0,,,False,
title,24,Page-Hinkley,0,0,0,0.0,,,False,
title,24,Boundary-Aware,20,4,16,0.07692307692307693,1425.0,50.0,True,1.8439944753600832
title,25,ADWIN,0,0,0,0.0,,,False,
title,25,Page-Hinkley,0,0,0,0.0,,,False,
title,25,Boundary-Aware,29,5,24,0.09615384615384616,1375.0,0.0,True,2.020075609802104
title,26,ADWIN,0,0,0,0.0,,,False,
title,26,Page-Hinkley,0,0,0,0.0,,,False,
title,26,Boundary-Aware,32,5,27,0.09615384615384616,1375.0,0.0,True,1.9124320518583482
title,27,ADWIN,0,0,0,0.0,,,False,
title,27,Page-Hinkley,0,0,0,0.0,,,False,
title,27,Boundary-Aware,18,3,15,0.057692307692307696,1425.0,50.0,True,2.409224848336191
title,28,ADWIN,0,0,0,0.0,,,False,
title,28,Page-Hinkley,0,0,0,0.0,,,False,
title,28,Boundary-Aware,12,2,10,0.038461538461538464,1550.0,175.0,True,2.3568565180769365
title,29,ADWIN,0,0,0,0.0,,,False,
title,29,Page-Hinkley,0,0,0,0.0,,,False,
title,29,Boundary-Aware,17,2,15,0.038461538461538464,1375.0,0.0,True,2.184823217679753
