ltable_id,rtable_id,label,score,phase,index
393,831,0,0.0,stable,0
559,324,0,0.0,stable,1
558,3023,0,0.07,stable,2
762,1618,0,0.12,stable,3
1262,2860,0,0.0,stable,4
971,2804,0,0.065,stable,5
654,1183,0,0.0,stable,6
423,2847,0,0.03,stable,7
858,1805,0,0.1,stable,8
722,2331,0,0.02661904761904762,stable,9
1198,3033,0,0.005,stable,10
522,1512,0,0.0,stable,11
561,1136,0,0.005,stable,12
606,2867,0,0.0,stable,13
1170,861,0,0.0,stable,14
614,945,0,0.005,stable,15
1241,3145,0,0.275,stable,16
1111,2755,0,0.0,stable,17
270,2177,0,0.0,stable,18
225,2837,0,0.0,stable,19
597,242,0,0.0,stable,20
661,946,0,0.51,stable,21
705,2054,0,0.0,stable,22
1191,567,1,0.86,stable,23
606,1485,0,0.0,stable,24
1030,2320,1,0.7844543650793652,stable,25
1105,783,0,0.135,stable,26
1225,2383,0,0.0,stable,27
536,750,1,0.635,stable,28
375,532,0,0.415,stable,29
1022,2865,0,0.13,stable,30
781,3199,0,0.0,stable,31
93,3160,0,0.005,stable,32
578,2195,0,0.01,stable,33
276,3022,1,0.95,stable,34
646,836,0,0.065,stable,35
511,2821,0,0.0,stable,36
490,1514,0,0.0,stable,37
587,1001,0,0.01,stable,38
1109,2852,0,0.005,stable,39
799,1592,0,0.0,stable,40
1269,1433,1,0.53775,stable,41
1258,2490,0,0.0,stable,42
553,897,0,0.0,stable,43
539,1311,0,0.0,stable,44
897,3017,0,0.005,stable,45
22,1435,1,0.69,stable,46
997,1599,0,0.055,stable,47
348,239,0,0.0,stable,48
112,3119,0,0.25,stable,49
604,2850,0,0.0,stable,50
1124,234,0,0.0,stable,51
1148,1183,0,0.0,stable,52
267,263,0,0.0,stable,53
310,562,0,0.23,stable,54
779,792,0,0.0,stable,55
1186,1017,0,0.245,stable,56
232,1437,0,0.005,stable,57
1185,2510,0,0.0,stable,58
632,3126,0,0.02,stable,59
497,945,0,0.135,stable,60
856,5,0,0.81,stable,61
250,367,0,0.0,stable,62
131,330,0,0.395,stable,63
427,2326,0,0.4670454545454546,stable,64
546,750,0,0.215,stable,65
1262,192,1,0.16,stable,66
1308,713,1,0.81,stable,67
270,1447,0,0.0,stable,68
510,2056,1,0.27,stable,69
251,36,0,0.0,stable,70
26,897,0,0.0,stable,71
508,3060,0,0.005,stable,72
197,1892,0,0.105,stable,73
615,369,0,0.0,stable,74
105,2626,0,0.015,stable,75
233,1917,0,0.45,stable,76
571,1075,0,0.195,stable,77
508,533,0,0.02,stable,78
