ltable_id,rtable_id,label,base_score,shift_score
393,831,0,0.0,0.0
559,324,0,0.0,0.0
558,3023,0,0.07,0.76
762,1618,0,0.12,0.225
1262,2860,0,0.0,0.0
971,2804,0,0.065,0.8990070206706787
654,1183,0,0.0,0.0
423,2847,0,0.03,0.405
858,1805,0,0.1,0.12
722,2331,0,0.02661904761904762,0.0
1198,3033,0,0.005,0.055
522,1512,0,0.0,0.08
561,1136,0,0.005,0.04
606,2867,0,0.0,0.0
1170,861,0,0.0,0.0
614,945,0,0.005,0.05
1241,3145,0,0.275,0.23
1111,2755,0,0.0,0.0
270,2177,0,0.0,0.025
225,2837,0,0.0,0.0
597,242,0,0.0,0.0
661,946,0,0.51,0.77
705,2054,0,0.0,0.005
1191,567,1,0.86,0.50625
606,1485,0,0.0,0.0
1030,2320,1,0.7844543650793651,0.563658240117109
1105,783,0,0.135,0.14
1225,2383,0,0.0,0.01
536,750,1,0.635,0.985
375,532,0,0.415,0.33
1022,2865,0,0.13,0.055
781,3199,0,0.0,0.02
93,3160,0,0.005,0.11
578,2195,0,0.01,0.07
276,3022,1,0.95,0.95
646,836,0,0.065,0.165
511,2821,0,0.0,0.0
490,1514,0,0.0,0.0
587,1001,0,0.01,0.63
1109,2852,0,0.005,0.0
799,1592,0,0.0,0.014285714285714285
1269,1433,1,0.53775,0.5
1258,2490,0,0.0,0.0
553,897,0,0.0,0.0
539,1311,0,0.0,0.0
897,3017,0,0.005,0.045
22,1435,1,0.69,0.38
997,1599,0,0.055,0.045
348,239,0,0.0,0.015
112,3119,0,0.25,0.06
604,2850,0,0.0,0.165
1124,234,0,0.0,0.005
1148,1183,0,0.0,0.0
267,263,0,0.0,0.05866666666666667
310,562,0,0.23,0.265
779,792,0,0.0,0.025
1186,1017,0,0.245,0.455
232,1437,0,0.005,0.08
1185,2510,0,0.0,0.055
632,3126,0,0.02,0.07
497,945,0,0.135,0.52
856,5,0,0.81,0.545
250,367,0,0.0,0.0
131,330,0,0.395,0.235
427,2326,0,0.4670454545454546,0.145
546,750,0,0.215,0.4697826086956522
1262,192,1,0.16,0.09
1308,713,1,0.81,0.49
270,1447,0,0.0,0.0
510,2056,1,0.27,0.6505036836088709
251,36,0,0.0,0.0
26,897,0,0.0,0.0
508,3060,0,0.005,0.0
197,1892,0,0.105,0.28
615,369,0,0.0,0.0
105,2626,0,0.015,0.09
233,1917,0,0.45,0.46
571,1075,0,0.195,0.64
508,533,0,0.02,0.0
1078,2081,0,0.005,0.03
751,2189,0,0.005,0.025
515,2313,0,0.0,0.28201067887109077
874,1319,0,0.0,0.0
648,1773,0,0.19,0.065
1029,2081,0,0.7431944444444444,0.72
831,2970,0,0.61,0.679228562609094
606,2411,0,0.025,0.135
578,2332,0,0.0,0.005
546,986,0,0.0,0.063140350877193
736,3032,0,0.0,0.01
890,2143,0,0.33,0.6482568734015345
776,907,0,0.0,0.13866805761206083
1322,911,0,0.0,0.0
558,2143,0,0.14,0.8991118421052632
620,2807,0,0.01,0.09480000000000001
1322,1146,0,0.0,0.09
773,1014,0,0.0,0.8990070206706787
930,254,0,0.0,0.0
604,3199,0,0.005,0.139
1362,744,0,0.03,0.0
157,25,0,0.04,0.05
845,180,1,0.76,0.715
333,2915,0,0.0,0.005
829,3151,0,0.0,0.0
641,1177,0,0.15,0.12
477,2466,1,0.425,0.63
